accuracy,loss,val_accuracy,val_loss,learning_rate,epoch
0.32594937086105347,3.0155177116394043,0.25,1.2387105226516724,0.0010000000474974513,1
0.2626582384109497,1.2619879245758057,0.19117647409439087,1.1691131591796875,0.0010000000474974513,2
0.3069620132446289,1.113836407661438,0.3529411852359772,1.0783771276474,0.0010000000474974513,3
0.45886075496673584,1.075673222541809,0.6176470518112183,1.0253362655639648,0.0010000000474974513,4
0.5379746556282043,1.0527738332748413,0.4852941036224365,1.0255571603775024,0.0010000000474974513,5
0.5284810066223145,1.0243242979049683,0.5735294222831726,0.9826333522796631,0.0010000000474974513,6
0.41455695033073425,1.0431917905807495,0.5441176295280457,0.9839432835578918,0.0010000000474974513,7
0.5221518874168396,0.9986326098442078,0.5441176295280457,0.990821361541748,0.0010000000474974513,8
0.5348101258277893,0.96635502576828,0.5441176295280457,0.9925228357315063,0.0010000000474974513,9
0.5158227682113647,0.9541947841644287,0.5441176295280457,0.9868147373199463,0.0010000000474974513,10
0.5379746556282043,0.9504016637802124,0.5735294222831726,0.8591474890708923,0.0010000000474974513,11
0.5379746556282043,0.9262246489524841,0.5588235259056091,0.9014185667037964,0.0010000000474974513,12
0.5601266026496887,0.8814721703529358,0.5735294222831726,0.8055160641670227,0.0010000000474974513,13
0.5537974834442139,0.8846291899681091,0.5735294222831726,0.9234493970870972,0.0010000000474974513,14
0.5316455960273743,0.9064843654632568,0.529411792755127,0.9400247931480408,0.0010000000474974513,15
0.5759493708610535,0.8743905425071716,0.6617646813392639,0.7193329334259033,0.0010000000474974513,16
0.5791139006614685,0.8469415307044983,0.5882353186607361,0.865624725818634,0.0010000000474974513,17
0.5379746556282043,0.9095810651779175,0.75,0.7346478700637817,0.0010000000474974513,18
0.6455696225166321,0.7884126305580139,0.6176470518112183,0.7408461570739746,0.0010000000474974513,19
0.642405092716217,0.8017696142196655,0.5,0.9164345264434814,0.0010000000474974513,20
0.5664557218551636,0.8661098480224609,0.75,0.757744312286377,0.0010000000474974513,21
0.6487341523170471,0.8207942843437195,0.6764705777168274,0.7010783553123474,0.0005000000237487257,22
0.6455696225166321,0.7189800143241882,0.6617646813392639,0.6858827471733093,0.0005000000237487257,23
0.7088607549667358,0.6643922924995422,0.6911764740943909,0.6168926954269409,0.0005000000237487257,24
0.6898733973503113,0.6660340428352356,0.6764705777168274,0.6354183554649353,0.0005000000237487257,25
0.7183544039726257,0.6851736307144165,0.779411792755127,0.5644259452819824,0.0005000000237487257,26
0.6708860993385315,0.6774740815162659,0.7647058963775635,0.5733457803726196,0.0005000000237487257,27
0.7310126423835754,0.6433461904525757,0.8088235259056091,0.520419716835022,0.0005000000237487257,28
0.6898733973503113,0.6880987882614136,0.8088235259056091,0.5437674522399902,0.0005000000237487257,29
0.7151898741722107,0.6447955369949341,0.8235294222831726,0.5310045480728149,0.0005000000237487257,30
0.7088607549667358,0.5999444127082825,0.7941176295280457,0.5721563100814819,0.0005000000237487257,31
0.7310126423835754,0.6000694036483765,0.7058823704719543,0.6264856457710266,0.0005000000237487257,32
0.7120253443717957,0.6028842329978943,0.8088235259056091,0.5100743174552917,0.0005000000237487257,33
0.702531635761261,0.6230115294456482,0.779411792755127,0.5275212526321411,0.0005000000237487257,34
0.7215189933776855,0.6006973385810852,0.779411792755127,0.5397565364837646,0.0005000000237487257,35
0.702531635761261,0.6023746728897095,0.8382353186607361,0.4913053512573242,0.0005000000237487257,36
0.7626582384109497,0.5813003182411194,0.6764705777168274,0.6282272338867188,0.0005000000237487257,37
0.7246835231781006,0.6073368191719055,0.7941176295280457,0.4853193759918213,0.0005000000237487257,38
0.797468364238739,0.5373038053512573,0.720588207244873,0.5968949198722839,0.0005000000237487257,39
0.7310126423835754,0.6029008030891418,0.8676470518112183,0.453255832195282,0.0005000000237487257,40
0.7848101258277893,0.5192741751670837,0.8382353186607361,0.4323536157608032,0.0005000000237487257,41
0.746835470199585,0.5608203411102295,0.8088235259056091,0.5095370411872864,0.0005000000237487257,42
0.746835470199585,0.5697190761566162,0.8676470518112183,0.4104430079460144,0.0005000000237487257,43
0.7879746556282043,0.5096919536590576,0.779411792755127,0.5191834568977356,0.0005000000237487257,44
0.7563291192054749,0.5121410489082336,0.8676470518112183,0.4056188762187958,0.0005000000237487257,45
0.7879746556282043,0.5009773969650269,0.9117646813392639,0.3746810257434845,0.0005000000237487257,46
0.7816455960273743,0.49635836482048035,0.7941176295280457,0.4559635519981384,0.0005000000237487257,47
0.7848101258277893,0.5021214485168457,0.8529411554336548,0.41764265298843384,0.0005000000237487257,48
0.7594936490058899,0.48425689339637756,0.75,0.493283212184906,0.0005000000237487257,49
0.7594936490058899,0.5013306140899658,0.8823529481887817,0.3816783130168915,0.0005000000237487257,50
